,blaze,inforwars,breitbart,fox,wsj,nyt,atlantic,msnbc,npr,huffpo,topics,global,specific,Average,Max,Min,Polarity,sd
6,0.0143,0.0151,0.0235,0.0166,0.0134,0.014,0.011,0.0068,0.0161,0.0113,ar 15 automatic semi used orlando 15s,ar15s,orlando,0.014215521,breitbart,msnbc,**,**
1,0.0157,0.015,0.0171,0.0189,0.0136,0.0117,0.0245,0.0155,0.0143,0.0107,officer police shot department incident san killed,authority,police shooting,0.015708527,atlantic,huffpo,x,**
2,0.0146,0.0147,0.0104,0.0122,0.0142,0.0145,0.0087,0.0192,0.013,0.0088,student school high march florida parkland stoneman,incident,parkland,0.01302243,**,breitbart,**,**
19,0.0071,0.0023,0.0034,0.003,0.0026,0.0072,0.0034,0.0022,0.0119,0.0033,hook sandy elementary connecticut family lawsuit school,incident,sandyhook,0.004642901,infowars,npr,**,**
7,0.0121,0.0106,0.0173,0.0161,0.0133,0.0096,0.0111,0.0094,0.013,0.0133,carry concealed permit open carrying right handgun,legal,permits,0.012564953,breitbart,msnbc,**,**
18,0.0133,0.0143,0.0207,0.0253,0.0119,0.0143,0.0226,0.0195,0.0132,0.0126,school teacher arming district classroom program educator,legal,arm teachers,0.016756245,**,wsj,**,**
26,0.0131,0.0126,0.0065,0.0094,0.0117,0.0092,0.0046,0.0175,0.0043,0.004,bill republican house senate legislation democrat lawmaker,legal,political parties,0.009284372,**,msnbc,**,**
15,0.0109,0.0064,0.006,0.0095,0.0074,0.0137,0.0149,0.0107,0.0159,0.014,nra national member association group right amendment,nra,nra,0.010936455,breitbart,npr,**,**
0,0.031,0.0163,0.0173,0.0119,0.0108,0.0369,0.0117,0.0135,0.0184,0.0231,think know thing could get even way,opinion,opinion,0.019098314,**,**,***,**
24,0.0076,0.0052,0.0131,0.0137,0.008,0.0065,0.0071,0.0076,0.0077,0.0089,npr may know record right final think,opinion,opinion,0.008535918,infowars,**,**,**
3,0.0076,0.0091,0.0031,0.0061,0.0081,0.0042,0.0014,0.0142,0.0015,0.0013,trump president donald meeting white house mr,trump,trump,0.005661868,huffpo,msnbc,x,**
8,0.0021,0.0034,0.0031,0.0018,0.0045,0.0018,0.0437,0.0015,0.0403,0.0374,copied read joe 2018 morning feb discus,incident,parkland,0.013949934,**,**,***,***
28,0.0147,0.0099,0.0094,0.0124,0.0118,0.0176,0.0212,0.0118,0.0188,0.0193,kelly giffords facebook mark purchase march store,incident,giffords,0.014690855,**,**,***,***
25,0.0095,0.013,0.0246,0.0115,0.0203,0.0074,0.0078,0.0056,0.0091,0.007,comment please community hate topic speak rule,opinion,opinion,0.011574429,msnbc,**,**,***
14,0.0169,0.0083,0.0091,0.0087,0.0077,0.0274,0.009,0.0056,0.0225,0.0253,death violence research percent health suicide study,research,research,0.014061015,**,**,***,***
5,0.0014,0.002,0.027,0.0427,0.0225,0.0011,0.0022,0.0013,0.0015,0.0017,nowhere 57 camp 700 deep wall fled,sales,walmart,0.010341247,**,**,***,***
10,0.0026,0.0094,0.0107,0.0028,0.0171,0.0026,0.0041,0.0028,0.0029,0.0033,dick store sporting walmart retailer sell sale,sales,sales,0.005823446,**,**,***,***
22,0.0099,0.0075,0.0069,0.01,0.0077,0.0099,0.0099,0.0111,0.0106,0.0085,military attack army war force terrorist member,authority,military,0.009194544,msnbc,breitbart,**,
23,0.0119,0.0164,0.0117,0.0117,0.0146,0.0149,0.0115,0.0146,0.009,0.0121,suspect county sheriff deputy home told man,authority,sherrif,0.012850306,infowars,npr,**,
16,0.012,0.015,0.0162,0.0145,0.0151,0.0144,0.0141,0.014,0.0107,0.0124,shot chicago 2017 tribune city killed weekend,incident,chicago,0.013838395,breitbart,npr,**,
17,0.0103,0.0087,0.0083,0.0111,0.0084,0.0094,0.0137,0.0134,0.0098,0.006,vega la bump stock automatic fire device,incident,vegas,0.009907791,msnbc,huffpo,x,
9,0.0134,0.0109,0.0099,0.0103,0.0079,0.0113,0.0115,0.0111,0.0071,0.0091,court supreme right ruling appeal case amendment,legal,supreme court,0.010257924,blaze,npr,**,
12,0.011,0.0087,0.0114,0.0122,0.0083,0.0113,0.0099,0.009,0.0121,0.0145,ban assault magazine feinstein capacity 1994 bill,legal,1994 bill,0.010848664,huffpo,wsj,**,
13,0.0147,0.0089,0.0117,0.015,0.0081,0.0164,0.0143,0.01,0.0153,0.0119,check background sale system purchase record nics,legal,background checks,0.01262789,npr,wsj,**,
20,0.0113,0.0094,0.0068,0.0074,0.0087,0.0137,0.0087,0.0098,0.0111,0.0109,atf ammunition federal round bureau tobacco caliber,legal,regulation,0.009770432,fox,nyt,**,
4,0.012,0.0101,0.0103,0.015,0.0128,0.012,0.0184,0.0144,0.0163,0.0149,breitbart hawkins awr awrhawkins news com amendment,meta,breitbart,0.013617691,,,,
11,0.0089,0.0106,0.0054,0.0097,0.0106,0.0081,0.0037,0.0137,0.0073,0.0044,jones alex infowars crew informed get breaking,meta,infowars,0.008242542,,,,
21,0.0072,0.0085,0.013,0.0047,0.0033,0.0045,0.0052,0.0036,0.0047,0.0049,straight sent turn news get fox daily,meta,fox,0.005959676,,,,
29,0.0057,0.0103,0.0035,0.0031,0.0045,0.0073,0.0021,0.0036,0.0023,0.0053,article supported wsj automatically click medium com,meta,wsj,0.004778377,,,,
27,0.005,0.0055,0.0084,0.0061,0.004,0.0051,0.0027,0.0046,0.0048,0.0035,company fund manager maker outdoor industry product,sales,sales,0.004975583,atlantic,breitbart,**,
