,atlantic,blaze,breitbart,fox,huffpo,inforwars,msnbc,npr,nyt,wsj,topics,global,specific
0,0.011651151,0.031046903,0.017313724,0.011855856,0.023130836,0.016347315,0.013475153,0.018406952,0.036935567,0.010819683,think know thing could get even way,opinion,opinion
1,0.024531375,0.015710968,0.017053381,0.018923652,0.010743197,0.014994923,0.015522835,0.014298368,0.011685571,0.013620995,officer police shot department incident san killed,authority,police shooting
2,0.008656219,0.014588058,0.010432603,0.01215931,0.008842031,0.014714971,0.01920316,0.013008595,0.014452024,0.014167325,student school high march florida parkland stoneman,incident,parkland
3,0.001375864,0.007644267,0.003075276,0.006082569,0.001311654,0.0090702,0.014155088,0.001549447,0.004224551,0.008129765,trump president donald meeting white house mr,trump,trump
4,0.018437965,0.011994499,0.010335842,0.01498534,0.014864392,0.010103507,0.014426267,0.016281233,0.011979889,0.012767974,breitbart hawkins awr awrhawkins news com amendment,meta,breitbart
5,0.002208937,0.001424182,0.027023895,0.042672093,0.001653124,0.001973967,0.001343058,0.001508958,0.001061134,0.02254312,nowhere 57 camp 700 deep wall fled,culture,freedom & immigration
6,0.010977416,0.014342246,0.023532264,0.016614888,0.011304209,0.015107835,0.006774391,0.016075016,0.014044492,0.013382454,ar 15 automatic semi used orlando 15s,incident,orlando
7,0.011050362,0.01213919,0.017275996,0.016053619,0.013279605,0.010574823,0.009353344,0.013003083,0.009600644,0.013318859,carry concealed permit open carrying right handgun,legal,permits
8,0.043745249,0.002136596,0.003067617,0.001820458,0.037402141,0.003355506,0.001464599,0.040260811,0.001787751,0.004458613,copied read joe 2018 morning feb discus,incident,parkland
9,0.011524847,0.013397921,0.009890533,0.010295337,0.009120113,0.010894286,0.011062953,0.007118689,0.011330162,0.007944404,court supreme right ruling appeal case amendment,legal,supreme court
10,0.004093193,0.002585556,0.010651407,0.002757655,0.003312151,0.009414241,0.002842126,0.002859679,0.002619014,0.017099441,dick store sporting walmart retailer sell sale,sales,sales
11,0.003673608,0.008930805,0.005429472,0.009735626,0.004443455,0.010579306,0.013713024,0.007298052,0.008051126,0.010570949,jones alex infowars crew informed get breaking,meta,infowars
12,0.009940653,0.010950962,0.011427619,0.012211676,0.014533779,0.008659163,0.009019317,0.012128944,0.011337928,0.008276601,ban assault magazine feinstein capacity 1994 bill,legal,1994 bill
13,0.014320843,0.014695091,0.011677957,0.015015955,0.011918281,0.008876174,0.009999911,0.015287025,0.016425219,0.00806244,check background sale system purchase record nics,legal,background checks
14,0.009045368,0.016905842,0.009124533,0.008741357,0.025263759,0.008340109,0.005622234,0.022454085,0.027389895,0.00772297,death violence research percent health suicide study,research,research
15,0.014931458,0.010866011,0.005986653,0.009507198,0.013959893,0.006448643,0.010677711,0.015865871,0.0137223,0.007398809,nra national member association group right amendment,nra,nra
16,0.014084258,0.011987468,0.016170811,0.014527646,0.012428176,0.014983168,0.013956501,0.010730708,0.014420998,0.015094216,shot chicago 2017 tribune city killed weekend,incident,chicago
17,0.013665714,0.01034935,0.008283058,0.011119468,0.005951507,0.008741821,0.01342992,0.009764518,0.009374886,0.008397667,vega la bump stock automatic fire device,incident,vegas
18,0.022593176,0.013291328,0.020667095,0.025261396,0.012583581,0.014260664,0.019514425,0.013157733,0.0143299,0.011903152,school teacher arming district classroom program educator,legal,arm teachers
19,0.003353293,0.007134349,0.003398122,0.002979565,0.003324298,0.002336348,0.002200579,0.011882231,0.007243104,0.002577119,hook sandy elementary connecticut family lawsuit school,incident,sandyhook
20,0.008683823,0.011336795,0.006767539,0.007395833,0.010892542,0.009401656,0.009762786,0.011060063,0.013673334,0.008729952,atf ammunition federal round bureau tobacco caliber,legal,regulation
21,0.00523661,0.007190901,0.012951105,0.004716456,0.004945871,0.008456921,0.003624415,0.004710726,0.004508172,0.003255579,straight sent turn news get fox daily,meta,fox
22,0.009917086,0.00985291,0.006904946,0.010006976,0.008467767,0.00745159,0.011103228,0.010647959,0.009934151,0.007658824,military attack army war force terrorist member,authority,military
23,0.011535579,0.011868957,0.011691748,0.011736544,0.012125004,0.016373893,0.014645971,0.009008842,0.014935979,0.014580544,suspect county sheriff deputy home told man,authority,sherrif
24,0.007090532,0.007551399,0.013071927,0.013733196,0.008882577,0.005204503,0.007646192,0.007668415,0.006506382,0.008004055,npr may know record right final think,opinion,opinion
25,0.007772725,0.009523853,0.024572433,0.01146509,0.00701275,0.01297944,0.005610079,0.009068172,0.007443647,0.020296102,comment please community hate topic speak rule,opinion,opinion
26,0.004566054,0.013125094,0.006538745,0.009432835,0.003986756,0.012564619,0.017470961,0.004290935,0.009214721,0.011652998,bill republican house senate legislation democrat lawmaker,legal,legal
27,0.002714456,0.005049487,0.008376396,0.006138901,0.003450088,0.005513376,0.004633651,0.004826652,0.005064769,0.003988053,company fund manager maker outdoor industry product,sales,sales
28,0.021221334,0.014709565,0.009403579,0.012383525,0.019322281,0.009913194,0.011765926,0.018768733,0.017607448,0.011812962,kelly giffords facebook mark purchase march store,legal,legal
29,0.002108345,0.005683129,0.003494616,0.003120688,0.005343016,0.010348236,0.003603447,0.002316777,0.007269572,0.004495948,article supported wsj automatically click medium com,meta,wsj
