	ALABAMA	ALASKA	ARIZONA	ARKANSAS	CALIFORNIA	COLORADO	CONNECTICUT	DELAWARE	DISTRICT OF COLUMBIA	FLORIDA	GEORGIA	GUAM & NORTHERN MARIANA ISLANDS	HAWAII	IDAHO	ILLINOIS	INDIANA	IOWA	KANSAS	KENTUCKY	LOUISIANA	MAINE	MARYLAND	MASSACHUSETTS	MICHIGAN	MINNESOTA	MISSISSIPPI	MISSOURI	MONTANA	NEBRASKA	NEVADA	NEW HAMPSHIRE	NEW JERSEY	NEW MEXICO	NEW YORK	NORTH CAROLINA	NORTH DAKOTA	OHIO	OKLAHOMA	OREGON	PENNSYLVANIA	PUERTO RICO	RHODE ISLAND	SOUTH CAROLINA	SOUTH DAKOTA	TENNESSEE	TEXAS	US VIRGIN ISLANDS	UTAH	VERMONT	VIRGINIA	WASHINGTON	WEST VIRGINIA	WISCONSIN	WYOMING	TOTAL	
Total	"5,699"	813	"8,467"	"1,199"	"36,217"	"4,172"	866	986	"1,449"	"19,133"	"11,865"	38	105	"1,061"	"12,258"	"5,954"	"1,620"	"2,321"	"3,282"	"7,718"	400	"7,959"	"1,729"	"6,830"	"2,726"	"3,444"	"5,527"	895	"1,536"	"1,929"	252	"3,758"	"2,444"	"7,701"	"13,940"	476	"9,891"	"1,534"	"3,473"	"8,697"	514	375	"6,064"	484	"8,552"	"21,570"	179	"1,290"	213	"7,717"	"3,855"	"1,386"	"3,726"	202	"266,491"	
9mm	"1,178"	134	"1,916"	246	"6,167"	753	157	223	407	"4,356"	"3,073"	7	8	174	"2,829"	"1,436"	357	519	755	"1,718"	79	"1,294"	340	"1,427"	581	761	"1,405"	95	318	473	56	718	497	"1,439"	"2,320"	91	"2,578"	325	634	"1,773"	103	79	951	81	"1,757"	"4,927"	49	256	23	"1,913"	702	195	"1,009"	29	"55,691"	pistol
.22 cal	701	117	"1,074"	189	"5,838"	593	129	138	150	"2,335"	"1,219"	11	19	191	"1,662"	670	289	367	406	915	69	"1,257"	271	772	395	451	662	181	247	245	31	488	403	"1,154"	"1,685"	61	"1,196"	258	674	"1,168"	16	43	694	124	"1,065"	"2,287"	9	249	46	921	691	248	466	42	"35,582"	AR-15
.40 cal	663	79	"1,007"	117	"2,997"	448	74	98	207	"2,148"	"1,660"	1	3	105	"1,162"	828	135	235	382	"1,185"	28	700	186	821	260	395	800	60	150	195	17	298	281	504	"1,068"	45	"1,142"	143	263	942	198	44	513	37	"1,043"	"2,934"	38	109	12	991	347	84	524	11	"28,717"	Pistol
.380 cal	610	47	601	126	"1,770"	297	71	74	135	"1,996"	"1,419"	1	3	57	"1,012"	596	148	205	318	659	22	429	160	476	211	331	481	27	94	139	11	297	179	721	"1,124"	27	"1,075"	121	248	677	8	42	478	22	821	"2,064"	12	101	3	690	247	89	313	13	"21,898"	
.45 cal	387	133	834	83	"3,139"	429	61	75	119	"1,433"	925	2	11	84	972	517	122	207	231	552	32	522	117	498	191	217	461	68	132	203	17	279	244	466	834	39	710	109	308	660	50	31	296	30	592	"1,771"	19	115	14	632	335	87	313	21	"20,729"	
12GA	455	65	594	83	"3,435"	309	71	103	60	"1,177"	582	4	13	98	775	384	146	178	196	507	44	"1,132"	115	510	275	197	293	73	172	127	24	254	174	605	"1,069"	56	499	103	302	664	8	15	995	54	470	"1,555"	3	106	21	551	340	156	238	14	"20,449"	
.38 cal	445	27	469	94	"2,693"	263	67	66	130	"1,691"	845	2	6	43	"1,134"	421	68	108	257	634	9	514	135	601	131	280	316	27	65	124	18	400	124	745	778	9	749	79	171	650	20	33	397	10	731	"1,391"	22	60	5	458	186	49	176	6	"18,932"	
.357 cal	141	34	280	40	"1,643"	147	36	28	55	642	315	2	6	40	517	198	49	67	88	247	13	300	87	234	102	124	172	23	64	73	14	188	92	312	414	8	282	51	144	360	24	28	185	14	266	674	4	42	12	250	134	34	113	5	"9,417"	
.25 cal	177	9	176	29	"1,023"	77	33	33	40	533	359	3	6	14	491	173	31	62	96	183	7	220	73	255	62	143	100	10	32	45	2	181	45	409	405	2	293	34	43	258	0	13	128	4	301	508	2	19	2	167	71	26	81	5	"7,494"	
