Bureau of Justice Statistics,,,,,,
filename:  bcft10at02.csv,,,,,,
"Appendix table 2. Estimated standard errors for applications and denials in local agencies, by size of community served and type of permit, 2010",,,,,,
"title: Background Checks for Firearm Transfers, 2010 - Statistical Tables NCJ 238226",,,,,,
data source:  Firearm Inquiry Statistics Program,,,,,,
"authors: Ronald J. Frandsen (REJIS), Dave Naglich (REJIS), Gene A. Lauver (REJIS), and Allina D. Lee (BJS)",,,,,,
refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,
"date of version:  February 12, 2013",,,,,,
 ,,,,,,
"Appendix table 2. Estimated standard errors for applications and denials in local agencies, by size of community served and type of permit, 2010",,,,,,
,,,Applications,Denials,Percent denied,
Purchase permits,,,"37,028","2,035",0.51,%
,Population served,,,,,
,,"Under 10,000","2,752",40,0.15,
,,"10,000 to 100,000","13,746",408,0.25,
,,"Over 100,000","34,272","1,993",0.96,
Exempt carry permits,,,"12,232",491,0.21,%
,Population served,,,,,
,,"Under 10,000","1,076",17,0.16,
,,"10,000 to 100,000","4,672",180,0.16,
,,"Over 100,000","11,253",456,0.42,
"Source: Bureau of Justice Statistics, Firearm Inquiry Statistics (FIST) program, 2010.",,,,,,
