Bureau of Justice Statistics,,,
filename:  bcft10at03.csv,,,
"Appendix table 3. Agencies conducting firearm background checks, December 31, 2010",,,
"title: Background Checks for Firearm Transfers, 2010 - Statistical Tables NCJ 238226",,,
data source:  Firearm Inquiry Statistics Program,,,
"authors: Ronald J. Frandsen (REJIS), Dave Naglich (REJIS), Gene A. Lauver (REJIS), and Allina D. Lee (BJS)",,,
refer questions to: askbjs@usdoj.gov (202)307-0765,,,
"date of version:  February 12, 2013",,,
 ,,,
"Appendix table 3. Agencies conducting firearm background checks, December 31, 2010",,,
,,Names or description of checking agencies      ,
Jurisdiction,,Purchase check or permit,Exempt carry permit/a
United States,,Federal Bureau of Investigation,---
Alabama,,---,---
Alaska,,---,---
Arizona,,---,Department of Public Safety
Arkansas,,---,State Police
California,,Department of Justice Firearms Division,---
Colorado,,Bureau of Investigation Insta-Check Unit,---
Connecticut,,State Police Special Licensing & Firearms,---
Delaware,,State Police Bureau of Identification,County superior courts 
Florida,,Department of Law Enforcement,---
Georgia,,---,County probate courts
Hawaii,,Police departments,---
Idaho,,---,County sheriffs
Illinois,,State Police FOID and FTIP units,---
Indiana,,---,---
Iowa,,Dept. of Public Safety/County sheriffs,Dept. of Public Safety/County sheriffs
Kansas,,---,Attorney General
Kentucky,,---,State Police
Louisiana,,---,---
Maine,,---,---
Maryland,,State Police Firearms Enforcement Division,---
Massachusetts,,Police departments,Police departments
Michigan ,,Sheriffs and police departments,County licensing boards
Minnesota,,Sheriffs and police departments,County sheriffs
Mississippi,,---,Department of Public Safety
Missouri,,---,---
Montana,,---,County sheriffs
Nebraska,,Sheriffs and police departments,State Patrol
Nevada,,Department of Public Safety,---
New Hampshire,,Department of Safety,---
New Jersey,,State Police/Local police departments,---
New Mexico ,,---,---
New York/b,,Sheriffs and police departments,---
North Carolina,,County sheriffs,County sheriffs
North Dakota,,---,Bureau of Criminal Investigation
Ohio,,---,---
Oklahoma,,---,---
Oregon,,State Police Firearms Unit,---
Pennsylvania,,State Police Firearms Division,---
Rhode Island,,Police departments,---
South Carolina,,---,Law Enforcement Division
South Dakota,,---,---
Tennessee,,Bureau of Investigation TICS Unit,---
Texas,,---,Department of Public Safety
Utah,,Bureau of Criminal Identification,Bureau of Criminal Identification
Vermont,,---,---
Virginia,,State Police Firearms Transaction Program,---
Washington,,Sheriffs and police departments,---
West Virginia,,---,---
Wisconsin,,Department of Justice Handgun Hotline,---
Wyoming,,---,Attorney General
a/Agencies listed issue carry permits that may be used to waive a purchase check. ,,,
b/License required for purchase may also allow carrying.,,,
"Source: Bureau of Justice Statistics, Firearm Inquiry Statistics (FIST) program, 2010.",,,
