Bureau of Justice Statistics,,,,
filename:  bcft10at04.csv,,,,
"Appendix table 4. National Instant Criminal Background Check System (NICS) checking agencies, FBI, or state point of contact (POC), for firearm transfers, 2010",,,,
"title: Background Checks for Firearm Transfers, 2010 - Statistical Tables NCJ 238226",,,,
data source:  Firearm Inquiry Statistics Program,,,,
"authors: Ronald J. Frandsen (REJIS), Dave Naglich (REJIS), Gene A. Lauver (REJIS), and Allina D. Lee (BJS)",,,,
refer questions to: askbjs@usdoj.gov (202)307-0765,,,,
"date of version:  February 12, 2013",,,,
,,,,
"Appendix table 4. National Instant Criminal Background Check System (NICS) checking agencies, FBI, or state point of contact (POC), for firearm transfers, 2010",,,,
,,FBI conducts checks ,POC conducts checks ,POC checks handguns 
State,,for all firearms/a  ,for all firearms  ,FBI checks long guns  
Total,,29,13,8
Alabama,,X,,
Alaska,,X,,
Arizona,,X,,
Arkansas,,X,,
California,,,X,
Colorado,,,X,
Connecticut,,,X,
Delaware,,X,,
Florida,,,X,
Georgia,,X,,
Hawaii/b,,,X,
Idaho,,X,,
Illinois,,,X,
Indiana,,X,,
Iowa/b,,,,X
Kansas,,X,,
Kentucky,,X,,
Louisiana,,X,,
Maine,,X,,
Maryland,,,,X
Massachusetts,,X,,
Michigan/b,,,,X
Minnesota,,X,,
Mississippi,,X,,
Missouri,,X,,
Montana,,X,,
Nebraska/b,,,,X
Nevada,,,X,
New Hampshire,,,,X
New Jersey,,,X,
New Mexico,,X,,
New York,,X,,
North Carolina/b,,,,X
North Dakota,,X,,
Ohio,,X,,
Oklahoma,,X,,
Oregon,,,X,
Pennsylvania,,,X,
Rhode Island,,X,,
South Carolina,,X,,
South Dakota,,X,,
Tennessee,,,X,
Texas,,X,,
Utah,,,X,
Vermont,,X,,
Virginia,,,X,
Washington/b,,,,X
West Virginia,,X,,
Wisconsin,,,,X
Wyoming,,X,,
Note: Includes checks on purchases or on permits required for purchase.,,,,
"a/The FBI also conducts all NICS checks for the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands.",,,,
b/States with multiple points of contact.,,,,
"Source: Bureau of Justice Statistics, Firearm Inquiry Statistics (FIST) program, 2010.",,,,
