Bureau of Justice Statistics,,,,,
filename:  bcft10stt01.csv,,,,,
"Table 1. Estimated number of applications and denials for firearm transfers or permits since the inception of the Brady Act, 1994–2010",,,,,
"title: Background Checks for Firearm Transfers, 2010 - Statistical Tables NCJ 238226",,,,,
data source:  Firearm Inquiry Statistics Program,,,,,
"authors: Ronald J. Frandsen (REJIS), Dave Naglich (REJIS), Gene A. Lauver (REJIS), and Allina D. Lee (BJS)",,,,,
refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,
"date of version:  February 12, 2013",,,,,
 ,,,,,
"Table 1. Estimated number of applications and denials for firearm transfers or permits since the inception of the Brady Act, 1994–2010",,,,,
,,Number of applications,,,
,,Received,Denied,Percent denied,
,Total,"118,249,000","2,079,000",1.8,%
Brady interim period/a ,,,,,
,1994-1998,"12,740,000","312,000",2.4,%
Permanent Brady/b,,"105,509,000","1,767,000",1.7,%
,1998/c,"893,000","20,000",2.2,
,1999,"8,621,000","204,000",2.4,
,2000,"7,699,000","153,000",2,
,2001,"7,958,000","151,000",1.9,
,2002,"7,806,000","136,000",1.7,
,2003,"7,831,000","126,000",1.6,
,2004,"8,084,000","126,000",1.6,
,2005,"8,278,000","132,000",1.6,
,2006,"8,612,000","135,000",1.6,
,2007,"8,658,000","136,000",1.6,
,2008,"9,900,000","147,000",1.5,
,2009,"10,764,000","150,000",1.4,
,2010,"10,405,000","153,000",1.5,
"Note: Counts are rounded to the nearest 1,000. Annual numbers may not sum to totals in other tables. For more information on reporting agencies and sample design, see Methodology.",,,,,
"a/From March 1, 1994, to November 29, 1998, background checks on applicants were conducted by state and local agencies, mainly on handgun transfers. See Presale Handgun Checks, the Brady Interim Period, 1994-98, NCJ 175034, BJS website, June 1999.",,,,,
b/The National Instant Criminal Background Check System (NICS) began operations in 1998. Checks on handgun and long gun transfers are conducted by the FBI and state and local agencies. ,,,,,
"c/November 30 to December 31, 1998, counts are from the NICS operations report for the period and may include multiple transactions for the same application.",,,,,
"Sources: Bureau of Justice Statistics, Firearm Inquiry Statistics (FIST) program, 1996–2010; and FBI, National Instant Criminal Background Check System (NICS) Transaction Statistics, 1994–2010.",,,,,
