Bureau of Justice Statistics,,,,,,,,,,,
filename:  bcft10stt03b.csv,,,,,,,,,,,
"Table 3b.  Local denial rates, by community size and type of permit, 1999–2010",,,,,,,,,,,
"title: Background Checks for Firearm Transfers, 2010 - Statistical Tables NCJ 238226",,,,,,,,,,,
data source:  Firearm Inquiry Statistics Program,,,,,,,,,,,
"authors: Ronald J. Frandsen (REJIS), Dave Naglich (REJIS), Gene A. Lauver (REJIS), and Allina D. Lee (BJS)",,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,,,
"date of version:  February 12, 2013",,,,,,,,,,,
,,,,,,,,,,,
"Table 3b.  Local denial rates, by community size and type of permit, 1999–2010",,,,,,,,,,,
,,,2010,,,,,1999–2010,,,
Population served by checking agency,,,Applications,Denials, Percent denied,,,Applications,Denials,Percent denied,
Purchase permits,,,"366,324","9,222",2.5,%,,"1,559,328","33,617",2.2,%
,Population served,,,,,,,,,,
,," Under 10,000","30,219",362,1.2,,,"167,982","2,094",1.2,
,,"10,000 to 100,000","122,173","2,381",1.9,,,"737,102","13,013",1.8,
,," Over 100,000","213,932","6,479",3,,,"654,244","18,510",2.8,
Exempt carry permits,,,"215,863","2,864",1.3,%,,"803,060","12,200",1.5,%
,Population served,,,,,,,,,,
,," Under 10,000","12,175",48,0.4,,,"65,424",545,0.8,
,,"10,000 to 100,000","111,393","1,265",1.1,,,"412,447","5,608",1.4,
,," Over 100,000","92,295","1,551",1.7,,,"325,189","6,047",1.9,
"Note: Counts are from agencies that provided data. For more information on reporting agencies and sample design, see Methodology.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, Firearm Inquiry Statistics (FIST) program, 2010.",,,,,,,,,,,
