Bureau of Justice Statistics,,,,,,,,,,
filename:  bcft10stt04.csv,,,,,,,,,,
"Table 4. Percent distribution of reasons for denial of firearm transfer applications by checking agencies, 1999–2010",,,,,,,,,,
"title: Background Checks for Firearm Transfers, 2010 - Statistical Tables NCJ 238226",,,,,,,,,,
data source:  Firearm Inquiry Statistics Program,,,,,,,,,,
"authors: Ronald J. Frandsen (REJIS), Dave Naglich (REJIS), Gene A. Lauver (REJIS), and Allina D. Lee (BJS)",,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,,
"date of version:  February 12, 2013",,,,,,,,,,
,,,,,,,,,,
"Table 4. Percent distribution of reasons for denial of firearm transfer applications by checking agencies, 1999–2010",,,,,,,,,,
,,2010,,,,,1999–2010,,,
Reason for denial,,FBI/a,,State,,,FBI/a,,State,
   ,Total,100,%,100,%,,100,%,100,%
Felony indictment/conviction,,47.4,%,30.9,%,,63,%,50.7,%
State law prohibition,,10.6,%,15.6,%,,3.3,%,8.5,%
Domestic violence,,10.4,%,10.3,%,,15.5,%,13.2,%
,Misdemeanor conviction,6.2,,8.2,,,11.1,,9.9,
,Restraining order,4.3,,2.1,,,4.4,,3.3,
Fugitive,,19.1,%,6.6,%,,7.7,%,6.8,%
Illegal alien,,0.8,%,0.3,%,,1.2,%,0.4,%
Mental illness or disability,,1.8,%,5.7,%,,0.7,%,2.8,%
Drug user/addict,,9.6,%,5,%,,7.9,%,1.4,%
Other prohibitions/b,,0.3,%,25.5,%,,0.7,%,16.2,%
"Note: Reasons for denial were based on 18 U.S.C. § 922 and state laws. Totals were based on agencies that reported data on reasons for denial. Data was not available for local law prohibition. For more information on reporting agencies and sample design, see Methodology.",,,,,,,,,,
"a/During 2008, the FBI began a new classification system and reclassified all denials from 1999 to 2008. Therefore, totals are not comparable with those in prior editions of this bulletin. ",,,,,,,,,,
"b/Includes juveniles, persons dishonorably discharged from the Armed Services, persons who have renounced U. S. citizenship, and other unspecified persons.",,,,,,,,,,
"Source: Bureau of Justice Statistics, Firearm Inquiry Statistics (FIST) program, 2010; and FBI, NICS Background Checks—FBI Denies, 2010.",,,,,,,,,,
