Bureau of Justice Statistics,,,,,,,,,,,,,,,,
filename:  bcft10stt06.csv,,,,,,,,,,,,,,,,
"Table 6. Appeals by type of checking agency, 2000–2010",,,,,,,,,,,,,,,,
"title: Background Checks for Firearm Transfers, 2010 - Statistical Tables NCJ 238226",,,,,,,,,,,,,,,,
data source:  Firearm Inquiry Statistics Program,,,,,,,,,,,,,,,,
"authors: Ronald J. Frandsen (REJIS), Dave Naglich (REJIS), Gene A. Lauver (REJIS), and Allina D. Lee (BJS)",,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,,,,,,,,
"date of version:  February 12, 2013",,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,
"Table 6. Appeals by type of checking agency, 2000–2010",,,,,,,,,,,,,,,,
,,2010,,,,,,,,2000–2010/a,,,,,,
Type of checking agency,,Appeals,,,,Reverse/d,,,,Appeals,,,,Reverse/d,,
,,Number,Percent of denials/b,,,Number,Percent of appeals,,,Number,Percent of denials/b,,,Number,Percent of appeals,
,Total,"36,672",24,%,,"12,275",33.5,%,,"284,989",19.8,%,,"107,157",37.6,%
FBI,,"16,513",22.7,%,,"3,491",21.1,%,,"116,347",15.7,%,,"33,586",28.9,%
State,,"19,838",29.8,%,,"8,591",43.3,%,,"166,837",26,%,,"72,941",43.7,%
,Colorado,"2,429",44.2,,,"1,658",68.3,,,"19,784",33,,,"11,866",60,
,Florida,"2,826",34.7,,,666,23.6,,,"23,236",29.1,,,"7,007",30.2,
,Oregon,"2,209",92.3,,,77,3.5,,,"16,158",61.6,,,"1,094",6.8,
,Pennsylvania/c,"3,826",55.1,,,"1,382",36.1,,,"45,392",44.6,,,"18,483",40.7,
,Tennessee,"7,734",60.8,,,"4,407",57,,,"55,332",57.4,,,"31,282",56.5,
,Other states/d,814,2.6,,,401,49.3,,,"6,935",2.2,,,"3,209",46.3,
"Note: Totals were based on agencies that reported data on appeals and reversals. Totals include counts for local appeals and therefore do not equal the sum of FBI and state totals. For more information on reporting agencies and sample design, see Methodology.",,,,,,,,,,,,,,,,
a/Appeals data have been collected since 2000. Some states did not report appeals for all years.,,,,,,,,,,,,,,,,
b/See tables 2 and 3a for the number of denials.,,,,,,,,,,,,,,,,
c/Counts include appeals of firearm sale denials and license denials.,,,,,,,,,,,,,,,,
"d/Includes California, Kansas, Maryland, Minnesota, Nebraska, Nevada, South Carolina, Utah, and Virginia.",,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Firearm Inquiry Statistics (FIST) program, 2010; and FBI, Section and Voluntary Appeal File, 2010.",,,,,,,,,,,,,,,,
