Bureau of Justice Statistics,,,,,,,,,,,,,
filename:  bcft10stt09.csv,,,,,,,,,,,,,
"Table 9. Number of National Instant Criminal Background Check System (NICS) Index prohibited person records, 2010",,,,,,,,,,,,,
"title: Background Checks for Firearm Transfers, 2010 - Statistical Tables NCJ 238226",,,,,,,,,,,,,
data source:  Firearm Inquiry Statistics Program,,,,,,,,,,,,,
"authors: Ronald J. Frandsen (REJIS), Dave Naglich (REJIS), Gene A. Lauver (REJIS), and Allina D. Lee (BJS)",,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,,,,,
"date of version:  February 12, 2013",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 9. Number of National Instant Criminal Background Check System (NICS) Index prohibited person records, 2010",,,,,,,,,,,,,
,,1-Jan-10,,,,,31-Dec-10,,,,,,
,,,,Submissions,,,,,Submissions,,,,
Type of record,,Index totals,,State,Federal,,Index totals,,State,Federal,,Index percent change,
,Total,"5,687,562",,"1,515,892","4,171,670",,"6,442,538",,"1,841,946","4,600,592",,13,%
Felony,,"331,537",,"323,237","8,300",,"435,022",,"426,708","8,314",,31,
Under indictment/information,,243,,27,216,,197,,56,141,,-19,
Fugitive from justice,,"364,550",,"358,711","5,839",,"367,110",,"361,170","5,940",,1,
Controlled substance,,"1,361",,230,"1,131",,"2,092",,833,"1,259",,54,
Mental commited/adjudicated,,"888,807",,"766,437","122,370",,"1,107,758",,"982,438","125,320",,25,
Illegal or unlawful alien,,"3,978,988",,47,"3,978,941",,"4,413,223",,49,"4,413,174",,11,
Dishonorable discharge,,"16,149",,9,"16,140",,"9,881",,18,"9,863",,-39,
Renounced U.S. citizenship,,"14,337",,1,"14,336",,"15,346",,1,"15,345",,7,
Protection/restraining order,,976,,883,93,,"1,357",,"1,259",98,,39,
Misdemeanor domestic violence,,"53,609",,"29,306","24,303",,"54,559",,"33,422","21,137",,2,
Denied persons,,"37,005",,"37,004",1,,"35,993",,"35,992",1,,-3,
"Note: The NICS Index is used exclusively for NICS checks and contains records of persons who are prohibited by federal law from receiving or possessing a firearm. For more information on reporting agencies and sample design, see Methodology.",,,,,,,,,,,,,
"Source: FBI, National Instant Criminal Background Check System (NICS) Index, 2010.",,,,,,,,,,,,,
