State/Territory	17 & Under	18 to 21	22 to 24	25 to 30	31 to 40	41 to 50	Over 50	Average Age
ALABAMA	86	381	388	696	710	344	483	35
ALASKA	6	54	57	157	136	89	52	34
ARIZONA	113	620	578	1,023	1,286	688	986	36
ARKANSAS	28	115	79	157	236	182	62	34
CALIFORNIA	659	2,479	2,351	4,400	5,588	3,573	5,927	39
COLORADO	85	218	263	467	616	314	951	39
CONNECTICUT	12	62	81	106	146	116	99	37
DELAWARE	44	130	119	162	224	66	320	42
DISTRICT OF COLUMBIA	36	138	116	148	111	63	44	30
FLORIDA	511	1,514	1,424	2,180	2,271	1,410	2,670	37
GEORGIA	348	1,009	1,048	1,721	1,616	964	701	33
GUAM & NORTHERN MARIANA ISLANDS	1	1	0	2	7	3	12	46
HAWAII	0	0	7	8	16	8	14	40
IDAHO	11	39	61	142	187	134	240	42
ILLINOIS	529	1,105	1,017	1,314	1,269	781	1,088	34
INDIANA	228	725	631	951	877	488	418	32
IOWA	38	82	106	176	197	244	196	39
KANSAS	31	96	121	169	461	130	92	34
KENTUCKY	91	388	288	444	521	374	338	34
LOUISIANA	293	843	715	960	1,227	542	907	35
MAINE	2	17	17	46	71	38	67	40
MARYLAND	155	536	518	991	1,288	1,061	1,254	38
MASSACHUSETTS	51	181	173	239	244	113	158	33
MICHIGAN	168	579	572	869	911	733	512	34
MINNESOTA	69	261	212	397	456	219	189	33
MISSISSIPPI	59	305	281	466	459	230	188	33
MISSOURI	146	550	599	772	964	438	477	33
MONTANA	2	11	25	82	119	29	454	55
NEBRASKA	54	146	166	219	237	111	252	36
NEVADA	24	124	157	295	436	249	244	38
NEW HAMPSHIRE	2	17	9	30	40	28	28	37
NEW JERSEY	111	341	268	420	465	256	443	36
NEW MEXICO	30	180	193	410	417	159	255	35
NEW YORK	287	720	658	1,144	1,323	646	735	34
NORTH CAROLINA	243	1,074	1,096	1,500	1,478	905	1,201	35
NORTH DAKOTA	1	26	21	88	117	42	23	34
OHIO	370	1,050	918	1,397	1,517	935	1,011	34
OKLAHOMA	50	132	170	236	301	134	166	35
OREGON	45	186	202	514	689	434	687	40
PENNSYLVANIA	176	586	558	795	831	644	951	37
PUERTO RICO	0	26	49	68	82	38	26	33
RHODE ISLAND	6	47	44	85	75	36	26	32
SOUTH CAROLINA	114	342	336	556	488	331	2,194	41
SOUTH DAKOTA	4	11	19	18	54	66	15	39
TENNESSEE	232	721	626	924	957	706	507	33
TEXAS	290	1,229	1,321	2,484	2,998	1,465	1,432	35
US VIRGIN ISLANDS	0	17	22	27	29	13	4	31
UTAH	22	72	79	150	232	134	161	37
VERMONT	0	2	8	19	15	12	114	49
VIRGINIA	196	749	945	1,141	1,264	697	951	35
WASHINGTON	78	161	251	471	615	429	588	39
WEST VIRGINIA	8	74	52	144	239	199	409	43
WISCONSIN	100	455	577	705	568	254	250	31
WYOMING	4	6	23	15	40	17	25	38
