	ALABAMA	ALASKA	ARIZONA	ARKANSAS	CALIFORNIA	COLORADO	CONNECTICUT	DELAWARE	DISTRICT OF COLUMBIA	FLORIDA	GEORGIA	GUAM & NORTHERN MARIANA ISLANDS	HAWAII	IDAHO	ILLINOIS	INDIANA	IOWA	KANSAS	KENTUCKY	LOUISIANA	MAINE	MARYLAND	MASSACHUSETTS	MICHIGAN	MINNESOTA	MISSISSIPPI	MISSOURI	MONTANA	NEBRASKA	NEVADA	NEW HAMPSHIRE	NEW JERSEY	NEW MEXICO	NEW YORK	NORTH CAROLINA	NORTH DAKOTA	OHIO	OKLAHOMA	OREGON	PENNSYLVANIA	PUERTO RICO	RHODE ISLAND	SOUTH CAROLINA	SOUTH DAKOTA	TENNESSEE	TEXAS	US VIRGIN ISLANDS	UTAH	VERMONT	VIRGINIA	WASHINGTON	WEST VIRGINIA	WISCONSIN	WYOMING	TOTAL
	"5,767"	845	"8,570"	"1,232"	"37,043"	"4,260"	880	"1,245"	"1,465"	"19,385"	"11,933"	40	108	"1,094"	"12,390"	"5,997"	"1,645"	"2,345"	"3,311"	"7,804"	410	"8,139"	"1,744"	"6,950"	"2,780"	"3,493"	"5,585"	936	"1,554"	"1,944"	255	"3,806"	"2,490"	"7,803"	"14,039"	484	"10,008"	"1,573"	"3,562"	"8,867"	516	377	"6,277"	497	"8,841"	"21,817"	180	"1,314"	224	"7,823"	"3,939"	"1,453"	"3,768"	211	"271,018"
POSSESSION OF WEAPON	"1,274"	169	"1,464"	333	"16,224"	890	294	257	687	"2,652"	"1,840"	28	28	243	"3,389"	"1,870"	366	656	882	"1,600"	106	"1,043"	796	884	642	593	"1,335"	200	257	434	75	"1,473"	444	"3,817"	"3,052"	171	"2,591"	801	734	"1,959"	142	189	"2,572"	139	"1,636"	"3,763"	64	338	28	"1,501"	"1,059"	351	957	64	"69,356"
FIREARM UNDER INVESTIGATION	"1,872"	59	466	217	"1,330"	365	216	434	378	"2,900"	"1,853"	8	42	53	"3,489"	792	243	215	773	"1,515"	137	"1,347"	328	"1,593"	563	"1,325"	674	94	636	67	99	139	539	719	"3,678"	107	"1,168"	104	523	"1,275"	110	34	949	204	"3,125"	"5,557"	56	143	11	953	379	531	546	30	"44,963"
DANGEROUS DRUGS	656	108	"1,135"	131	"2,378"	376	89	98	28	"1,620"	"1,819"	1	8	174	865	731	217	257	549	"1,179"	42	559	71	"1,031"	354	333	782	116	88	221	24	90	379	616	"1,437"	46	"1,214"	208	404	"1,054"	36	19	561	33	651	"2,062"	5	130	109	522	365	97	380	4	"26,462"
FOUND FIREARM	457	89	676	121	"2,062"	393	100	80	120	"2,512"	"1,646"	1	6	98	"1,402"	604	157	148	135	840	40	566	186	464	235	247	476	22	154	182	17	"1,334"	194	902	"1,218"	38	809	107	229	675	35	34	519	36	456	"1,534"	12	151	11	656	369	74	206	30	"23,865"
WEAPON OFFENSE	114	80	902	143	"4,143"	976	37	10	49	"1,143"	330	0	10	48	"1,063"	343	76	39	45	213	5	241	47	154	125	23	380	406	28	36	0	116	22	327	365	26	421	21	139	214	96	34	495	4	"1,002"	"1,724"	22	65	13	"1,912"	174	56	95	19	"18,571"
CARRYING CONCEALED WEAPON	224	0	7	2	"1,381"	49	2	129	5	910	108	0	0	22	32	29	70	3	260	124	4	965	17	"1,123"	80	51	249	1	44	41	0	9	13	38	627	17	"1,105"	4	29	246	0	0	72	0	33	483	0	2	0	270	20	40	457	0	"9,397"
AGGRAVATED ASSAULT	72	12	582	68	831	119	6	26	71	"1,141"	727	0	0	61	320	99	40	161	11	276	7	155	18	516	116	84	357	11	17	52	4	75	200	22	247	1	311	47	19	567	0	3	105	6	225	"1,013"	2	34	3	88	146	18	97	5	"9,194"
FAMILY OFFENSE	135	26	211	5	767	79	23	32	2	992	339	0	8	35	430	309	80	86	41	175	32	"1,121"	100	27	111	90	180	8	42	109	1	145	66	55	542	21	310	30	174	235	15	10	132	22	100	308	0	79	11	222	131	55	212	5	"8,476"
HEALTH - SAFETY	69	26	255	1	801	43	4	1	0	"1,355"	112	0	0	60	142	217	47	68	11	128	0	624	9	161	62	150	41	1	40	266	2	35	2	53	203	1	470	11	309	65	0	7	34	1	67	733	0	36	4	110	166	8	18	0	"7,029"
HOMICIDE	125	27	218	65	661	131	18	15	38	572	311	0	1	50	191	122	45	95	87	186	4	171	24	174	63	93	132	19	12	48	9	57	62	85	504	6	309	79	120	293	6	5	128	10	181	882	3	33	10	162	98	39	112	7	"6,898"
PROPERTY CRIMES	167	48	369	34	948	108	17	2	3	425	642	0	1	38	57	85	14	60	118	385	1	81	0	97	34	102	269	13	21	52	2	28	117	57	485	4	165	22	112	271	1	6	133	13	228	357	2	32	3	148	166	56	35	14	"6,648"
SUICIDE	66	40	336	20	536	167	20	49	3	761	230	0	1	61	171	159	36	58	88	181	11	131	35	53	74	41	101	14	41	75	3	19	98	38	207	1	138	27	131	371	0	14	137	9	102	434	0	64	2	269	141	11	106	7	"5,888"
ROBBERY	111	5	235	14	503	62	11	23	41	382	322	0	0	6	138	146	21	51	88	126	5	170	10	115	38	43	109	2	36	40	4	33	27	150	218	5	185	12	37	255	7	3	69	3	180	527	2	15	3	120	47	8	120	2	"4,885"
