incident parkland (1),incident mass shooting (1),guns ar 15,incident parkland (2),government trump,culture national identity,meta opinions,gun control national identity,meta meta,gun control bans,incident video,gun control legal,guns ammunition,gun control second ammendment (1),guns assault weapons (1),meta meta,incident nyc,gun control background check,gun control second ammendment (2),gun control nra,guns assault weapons (2),guns sales,culture government,incident mass shooting (2),paper,aid,max_top,general
0.042321626,0,0,0.015699991,0.022908917,0.171844915,0.006615227,0.058820354,0,0.010476191,0.019426992,0,0.024073143,0.147126313,0.045882997,0.001419756,0,0.091197643,0.007788376,0.060154548,0,0,0,0,wsj,wsj0,culture national identity,culture
0.078539595,0,0.012007041,0.051582081,0.030943491,0.16245562,0,0.052240713,0,0,0,0,0.033216791,0.065000317,0,0,0,0.084750786,0,0.015660871,0,0,0,0,wsj,wsj8,culture national identity,culture
0,0,0,0.01368898,0.026810722,0,0,0,0,0,0.021487619,0,0.034881761,0,0.038612825,0,0,0,0.000235894,0.009359824,0.012419346,0,0.201927198,0.007423942,wsj,wsj15,culture government,culture
0.010037487,0.004265059,0,0.047052517,0,0.029974424,0.012355037,0.059779559,0.000665082,0.043930589,0,0,0,0,0.003462888,0.040332907,0,0.025673552,0,0.000175178,0.081062362,0,0.117266934,0.00704211,wsj,wsj21,culture government,culture
0,0.074249273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03784892,0,0.315659556,0,wsj,wsj28,culture government,culture
0.05970974,0,0,0,0,0.137044117,0.00035314,0,0,0,0,0,0,0.001041844,0,0,0.080706486,0.049377951,0,0.018920471,0,0,0,0,wsj,wsj29,culture national identity,culture
0.042615858,0.000784196,0,0,0,0.105013152,0,0,0,0,0,0.028848631,0.004275544,0.004091969,0.008108338,0,0.012855484,0.028501361,0.01607978,0.004426541,0,0,0.133992652,0,wsj,wsj38,culture government,culture
0.035345558,0,0.127266545,0,0,0,0,0.018823433,0,0.001894803,0,0,0.050118745,0,0.049093718,0,0,0,0.011304216,0.003652715,0.008858231,0.003925206,0.169108492,0,wsj,wsj45,culture government,culture
0,0.000448782,0.016180517,0,0.008325922,0.137828872,0.002868243,0,0,0,0,0.002186964,0.009974442,0.026534793,0.00350261,0,0,0.024962661,0.021651759,0.060190398,0.006504488,0.033820336,0.004072921,0.012079976,wsj,wsj50,culture national identity,culture
0,0,0,0,0,0.011385714,0,0,0,0.024432968,0,0,0,0,0.103652537,0,0,0,0,0.039989689,0,0.016421122,0.111367445,0,wsj,wsj93,culture government,culture
0,0,0.01369062,0,0,0.209674158,0.024226279,0,0.00281152,0,0.007649181,0,0.001809355,0.004458348,0.035839812,0,0,0,0,0.056853793,0,0.016354327,0,0,wsj,wsj98,culture national identity,culture
0,0,0,0,0.039220052,0,0,0,0,0,0,0,0,0.003043825,0,0,0.06465614,0.003584319,0,0.00303115,0,0.001895112,0.260358907,0,wsj,wsj126,culture government,culture
0,0.001127537,0,0.01971126,0.030658085,0.19536915,0,0.045676013,0,0,0,0,0.002188077,0,0.012664527,0,0,0.118608929,0,0,0,0,0.000424248,0,wsj,wsj144,culture national identity,culture
0,0,0,0.028828903,0.018413373,0.209264448,0,0.045023201,0,0,0,0,0.005351208,0.034411589,0,0,0,0.066400178,0,0,0,0,0,0,wsj,wsj150,culture national identity,culture
0.005126711,0.112912535,0,0.002962138,0.013866453,0,0.029343728,0,0,0.026039743,0,0,0.003430034,0.005604241,0.101244254,0,0.010356802,0,0,0,0.033396688,0.002898012,0.153249625,0,npr,npr4,culture government,culture
0.014769649,0,0,0.02527948,0.010188347,0.175922797,0.046205164,0.030531086,0.043618441,0.004268659,0,0,0,0.069654649,0.013224689,0,0,0.101568294,0,0.142712927,0.013517994,0.003380142,0,0,npr,npr21,culture national identity,culture
