topicID,topics
0,state law carry enforcement texas public owner legislation citizen already
1,officer police department incident county city say video man call
2,ar 15 rifle automatic semi used style store shooter gun
3,school student high shooting florida parkland medium control dead left
4,nation action sign take issue support three policy program matter
5,trump president white read morning house wednesday support policy lawmaker
6,say one like think people know may would could time
7,gun control violence law owner shooting show mass america debate
8,ban assault magazine weapon rifle mass style high shooting bullet
9,video street 000 country want people show earlier world across
10,com second amendment twitter news follow bullet armed directly host
11,shot read man killed morning police shooting 2016 two time
12,firearm act gun federal use sale report safety according number
13,check background sale system purchase gun record buy federal store
14,said told official authority county home statement two according member
15,get news whether often sign already told let follow life
16,new york city morning time week first street part since
17,bill republican house congress lawmaker legislation measure would white president
18,court federal case right amendment law arm second rifle military
19,nra national association member group rifle republican right president political
20,weapon military read 2016 use used system automatic assault fire
21,company sale store rifle make year group end asked national
22,attack left people american dead used government official including mass
23,year old death family home four shooting child crime two
