topicID,topics
0,gun pro anti related free rights violence controlled safety owning
1,wa even ban non speech youtube struck handed officer violence
2,said nov 2016 20 10 22 21 12 2014 www
3,rifle ban automatic making air maker proof 15 semi assault
4,firearm related anti violence often based non supporting filled storage
5,weapon even concealed carry ammunition well screening assault open handgun
6,ha used could officer involved little often old rarely internet
7,one third kind day way quarter size story history page
8,people even org 12 www top reason press 2013 protection
9,shooting practical target mass post related non combat 2018 mar
10,law abiding enforcement common father already letter brother 12 related
11,would nra field backed funded anti pro supported supporting advantage
12,state level based issued court art often approved supporting us
13,year old 19 17 10 three 20 18 five 21
14,school high safety capacity old age elementary profile powered tech
15,police involved ap 2016 vehicle anti pro 21 news www
16,say news ex abc marine 2016 19 www old npr
17,ar 15 15s style type old 57 10 000 military
18,also officer involved com 2013 19 breitbart twitter pic infowars
19,time first part full long real end small night limited
20,right far carry wing leaning hand center hard concealed left
21,like twitter others pistol bear plastic com pic breitbart rifle
22,new brand member eight 000 10 100 day 700 500
23,control first advocacy 2017 20 pro gun degree 000 amendment
24,shot single long first handgun killed ever six 30 10
25,assault style weapons military ban type anti non nonfatal aggravated
26,two way day half 2017 step term week number word
27,told officer could involved com 2013 19 old internet breitbart
