topicID,topics
0,npr know think right thing may really
1,officer police shot department incident san killed
2,student school high march florida stoneman parkland
3,refugee myanmar singh stranded bangladeshi karan rohingya
4,trump president donald meeting white mr house
5,breitbart hawkins awr awrhawkins news com amendment
6,ar 15 automatic semi orlando used popular
7,ban assault magazine feinstein capacity 1994 control
8,copied read joe 2018 morning feb msnbc
9,court supreme right ruling appeal amendment case
10,jones alex crew get informed infowars breaking
11,dick store sporting walmart sell retailer sale
12,carry concealed permit open carrying right resident
13,check background sale system purchase record nics
14,death violence research percent health suicide study
15,nra national association member group right amendment
16,atf ammunition federal round tobacco caliber bureau
17,school teacher arming district classroom educator high
18,shot suspect county man sheriff deputy home
19,tap straight sent turn news get marijuana
20,hook sandy elementary lawsuit family connecticut school
21,comment please excessive community racial hate topic
22,vega la bump stock hotel automatic room
23,military attack syrian war army syria force
24,chicago shot tribune 2017 city homicide weekend
25,facebook video com cnn show watson http
26,company fund manager maker outdoor giant brand
27,kelly tucson giffords mark purchase march store
28,bill republican house senate legislation democrat lawmaker
29,article supported app sorry wsj link contains
