topicID,topics
0,gun pro anti related free rights
1,wa explains eye extremely extreme extra
2,said nov 2016 20 10 22
3,rifle automatic making air maker proof
4,firearm related anti often based non
5,weapon concealed carry ammunition well screening
6,ha president first washington co owner
7,one third kind day way quarter
8,people org 12 www top reason
9,shooting practical target mass post related
10,law abiding enforcement common father already
11,would nra field backed funded anti
12,state level based issued court art
13,year old 19 17 10 three
14,school high safety capacity old age
15,police involved ap 2016 vehicle anti
16,say ex abc marine 2016 19
17,ar 15 15s style type old
18,also use first according amendment degree
19,time first part full long real
20,right far carry wing leaning hand
21,like twitter others pistol bear plastic
22,new brand member eight 000 10
23,control first advocacy 2017 20 pro
24,shot single long first handgun killed
25,assault style weapons military type anti
26,two way day half 2017 step
27,told president check background washington co
28,could old internet 19 17 18
29,used little often rarely gun use
30,officer involved com 2013 19 breitbart
31,ban non pro signed uniqueness peevishly
32,trump anti pro voice government nra
33,violence anti non low 2018 warning
34,even non speech youtube struck handed
35,american african made anti backed islamic
36,many president check background washington co
37,news star express democrat making wall
38,second pro anti degree check hand
39,make get believe done check background
