topicID,topics
0,gun control related violence safety feb 2018 congress house 2013
1,wa school president rifle people shot assault control would time
2,law right far new police bill trump national mass say
3,said president shot bill would ban like msnbc used national
4,weapon right far new house feb 2018 violence assault police
5,nra 2018 feb violence congress house 2013 war may officer
6,firearm related right far new assault bill trump also ban
7,state school people shot police assault also would background check
8,read school president rifle shot would ban time long national
9,shooting 2018 2013 feb violence congress house officer may war
10,ha right far new president shot bill trump ban msnbc
11,copied school right far president rifle people shot bill assault
12,one way year right far new assault bill trump also
13,year two 2018 three 15 feb ar school violence congress
14,republican right far new house assault feb 2018 violence bill
